id,text
b794e1a1-ecd6-449d-9ed9-0118a2e02626,website developer kualifikasi wajib milik laptop sendirimampu website landing page sesuai butuh usaha optimasi seomasa magang minimum 3 jam kerja normalharus serta portofoliobenefit sertifikat magangkonversi nilaisistem wfh komunikasi kreatif paham industri manajemen proyek kreativitas kerjasama tim ahli teknologi pasar produk
7c8623ef-5f9b-470d-bc7a-73b1dd706c8b,software architect intern help architect team demonstration improvement idea work focused determining whether idea turned realitythe improvement might include test optimization test automation framework usage eg test framework design komunikasi kreatif desain grafis coding
bd95c730-b157-4fc5-8791-9dc9ea5e0e32,product marketing intern design develop sharepoint page support business operation collaborate team get data sharepoint page support documentation products willing learn new things kreatif analisis data paham lingkung bisnis komunikasi
fc01895c-0d74-4874-a8f2-d1d46956d697,asisten finance paham sistem uang sekolah ajak paham sistem uang sekolah proses bayar lapor uang kelola anggaranpencatatan transaksi uang ajar catat transaksi uang hari terima uang sekolah bayar gaji pegawai beli lengkap sekolah bayar tagihanpengelolaan kas libat kelola kas sekolah susun lapor arus kas kece saldo kas akurat catat transaksi kaspenyusunan lapor uang bantu susun lapor uang bulan tahun lapor laba rugi neraca lapor arus kas libat kumpul data kece akurat susun lapor sesuai standar akuntansi berlakupemahaman keluar pasu sekolah ajar sumber dapat sekolah biaya sekolah dana donasi subsidi perintah keluar operasional sekolah bayar gaji staf beli lengkap biaya pelihara gedungberkomunikasi kait interaksi kait guru staf administrasi orang tua siswa eksternal bank vendor bahas uang administrasi sekolahpartisipasi rapat temu hadir rapat temu internal bahas uang administrasi sekolah kontribusi presentasi sesuai bidang andapenyusunan anggar libat susun anggar tahun sekolah libat rencana keluar dapat evaluasi kerja uang periodikpembelajaran sistem perangkat lunak uang sekolah sistem perangkat lunak uang ajar operasi paham fungsifungsi dasar sistem tersebutproyek khusus terkadang tanggung selesai proyek khusus kait uang administrasi sekolah evaluasi efisiensi operasional susun bijak uang implementasi sistem administrasi operasional komunikasi kreatif
b6062e51-4764-474c-a2b7-617affd56959,marketing asuransi mini mikro wfh indonesiapenelitian pasar mahasiswa ajak teliti pasar kait produk asuransi mikro tawar usaha liput analis target pasar paham butuh preferensi calon langgan evaluasi saing pasarpengembangan strategi pasar mahasiswa libat proses kembang strategi pasar produk asuransi mikro ajar guna salur pasar promosi komunikasi tingkat sadar minat calon pelangganpenyusunan materi promosi mahasiswa bantu susun materi promosi brosur leaflet presentasi konten media sosial ajar susun pesan tarik persuasif tarik minat langgan potensialpelatihan tim jual mahasiswa sempat amat libat latih tim jual ajar teknik jual efektif terampil presentasi atas tolak calon pelangganpelaksanaan kampanye pasar mahasiswa libat laksana kampanye pasar produk asuransi mikro langsung media online cakup giat pamer acara promosi kampanye digitalanalisis kerja mahasiswa ajar analisis kerja pasar libat pantau evaluasi efektivitas giat pasar rekomendasi baik mendatangpelayanan langgan mahasiswa paham layan langgan industri asuransi ajar tangan keluh klaim langgan efisien operasional kreatif administrasi komunikasi
051db4ac-8eb2-4f06-be00-36d6e4649c4a,marketing asuransi mini mikro wfh indonesiapenelitian pasar mahasiswa ajak teliti pasar kait produk asuransi mikro tawar usaha liput analis target pasar paham butuh preferensi calon langgan evaluasi saing pasarpengembangan strategi pasar mahasiswa libat proses kembang strategi pasar produk asuransi mikro ajar guna salur pasar promosi komunikasi tingkat sadar minat calon pelangganpenyusunan materi promosi mahasiswa bantu susun materi promosi brosur leaflet presentasi konten media sosial ajar susun pesan tarik persuasif tarik minat langgan potensialpelatihan tim jual mahasiswa sempat amat libat latih tim jual ajar teknik jual efektif terampil presentasi atas tolak calon pelangganpelaksanaan kampanye pasar mahasiswa libat laksana kampanye pasar produk asuransi mikro langsung media online cakup giat pamer acara promosi kampanye digitalanalisis kerja mahasiswa ajar analisis kerja pasar libat pantau evaluasi efektivitas giat pasar rekomendasi baik mendatangpelayanan langgan mahasiswa paham layan langgan industri asuransi ajar tangan keluh klaim langgan efisien operasional kreatif administrasi komunikasi
0ffe8c67-45e8-473f-a82d-175f4ad7fcb8,tenaga ajar digikidz multimedia coach ajar children creative learning center digikidz center sekolah center franchise event2 laksana digikidz siap ajar sesuai kelas jadwal minimal 30 menit kelas teaching aids video tutorial alat bantu ajar sesuai standard digikidzmelaksanakan siap ajar ajar kelas api ajar sesuai standard operational procedure sopmengajar hati jalan kelas senang fun learning kreatif siasat murid suasana kelas struktur sesuai sopmelaksanakan kerja administrasi kait jalan kelas tertib sesuai sop isi absensi murid evaluation sheet buat progress report sertifikat muridmelakukan koordinasi internal team coach team marketing masingmasing center kelas jalan baikmelakukan komunikasi murid orang tua murid kait kembang ajar muridmenjaga mutu kelas ajar sesuai kurikulum digikidz berlakumelaporkan kait kerja center coordinatorsupervisor masalahmasalah muncul kelas center sekolah
7516bf97-bdfc-4dd1-875e-069253eb0a76,content creator konten digikidzmenganalisis target customer digikidzmembuat strategi brandingmengelola platform digikidzupdate kembang teknologi terbarumemonitor kerja kontenmembangun jaring mitra
6f0633b9-8300-4c76-a839-daa5c6dc5670,admin tenaga administrasi bantu divisi marketing finance product development divisi rencana rekapitulasi administrasimembantu divisi human resource dal kelola administrasi bantu team finance rekapitulasi catat uang uang administrasi kreatif komunikasi operasional analisis uang analisis data
ef46090e-092b-4cdf-bfb5-f3f54d6e23de,internship multimedia coach multimedia coach ajar children creative learning center digikidz center sekolah center franchise event2 laksana digikidz siap ajar sesuai kelas jadwal minimal 30 menit kelas teaching aids video tutorial alat bantu ajar sesuai standard digikidzmelaksanakan siap ajar ajar kelas api ajar sesuai standard operational procedure sopmengajar hati jalan kelas senang fun learning kreatif siasat murid suasana kelas struktur sesuai sopmelaksanakan kerja administrasi kait jalan kelas tertib sesuai sop isi absensi murid evaluation sheet buat progress report sertifikat muridmelakukan koordinasi internal team coach team marketing masingmasing center kelas jalan baikmelakukan komunikasi murid orang tua murid kait kembang ajar muridmenjaga mutu kelas ajar sesuai kurikulum digikidz berlakumelaporkan kait kerja center coordinatorsupervisor masalahmasalah muncul kelas center sekolah desain grafis paham industri ahli teknologi paham teknologi informasi terampil komunikasi
