meta,id,name,description,mitra_id,start_period,months_duration,activity_type,location,fields_of_study,quota,min_semester,skills,web_portal,show_salary,mobilization,accommodation,is_applied,wishlist,is_external,external_platform_name,external_platform_logo_url,salary
,b794e1a1-ecd6-449d-9ed9-0118a2e02626,Website Developer,Kualifikasi : Wajib memiliki laptop sendiri.Mampu membuat website dan landing page sesuai dengan kebutuhan perusahaan Mampu  Optimasi SEOMasa magang minimum 3 bulan dengan jam kerja normalHarus menyertakan portofolioBenefit :Sertifikat Magang Konversi NilaiSistem WFH,c7746ff1-87de-47bb-a43f-6d63f521e07c,2024-03-01T00:00:00+07:00,3,WFH,Kota Surabaya,[],2,0,"['Komunikasi', 'Kreatif', 'Pemahaman Industri', 'Manajemen Proyek', 'Kreativitas', 'Kerjasama Tim', 'Keahlian Teknologi', 'Pemasaran Produk']",,False,False,False,False,False,False,,,
,7c8623ef-5f9b-470d-bc7a-73b1dd706c8b,Software Architect Intern,To help architect team on demonstration of an improvement idea in which work is focused on determining whether an idea can be turned into a reality.The improvement might include:- Test Optimization- Test Automation- Framework usage e.g Test framework or design,af00bd20-3ac2-44a4-877f-af4307f9b599,2024-03-01T00:00:00+07:00,6,WFO,Kota Jakarta Selatan,['Teknik Informatika dan Ilmu Komputer'],1,6,"['Komunikasi', 'Kreatif', 'Desain Grafis', 'Coding']",,False,False,False,False,False,False,,,
,bd95c730-b157-4fc5-8791-9dc9ea5e0e32,Product Marketing Intern,- Design and develop sharepoint page to support the business operation.- Collaborate with other team to get the data for the sharepoint page.- Support for the documentation on our products.- Willing to learn new things.,af00bd20-3ac2-44a4-877f-af4307f9b599,2024-03-01T00:00:00+07:00,6,WFO,Kota Jakarta Selatan,['Teknik Informatika dan Ilmu Komputer'],1,6,"['Kreatif', 'Analisis Data', 'Pemahaman Lingkungan Bisnis', 'Komunikasi']",,False,False,False,False,False,False,,,
,fc01895c-0d74-4874-a8f2-d1d46956d697,Asisten Finance,"Pemahaman Sistem Keuangan Sekolah: Anda akan diajak untuk memahami sistem keuangan yang digunakan oleh sekolah, termasuk proses pembayaran, pelaporan keuangan, dan pengelolaan anggaran.Pencatatan Transaksi Keuangan: Anda akan belajar untuk melakukan pencatatan transaksi keuangan harian, seperti penerimaan uang sekolah, pembayaran gaji pegawai, pembelian perlengkapan sekolah, dan pembayaran tagihan.Pengelolaan Kas: Anda mungkin akan terlibat dalam mengelola kas sekolah, termasuk penyusunan laporan arus kas, pengecekan saldo kas, dan memastikan keakuratan pencatatan transaksi kas.Penyusunan Laporan Keuangan: Anda akan membantu dalam penyusunan laporan keuangan bulanan atau tahunan, seperti laporan laba rugi, neraca, dan laporan arus kas. Ini melibatkan pengumpulan data, pengecekan keakuratan, dan penyusunan laporan sesuai dengan standar akuntansi yang berlaku.Pemahaman Pengeluaran dan Pemasukan Sekolah: Anda akan belajar tentang sumber pendapatan sekolah, seperti biaya sekolah, dana donasi, dan subsidi pemerintah, serta pengeluaran untuk operasional sekolah, termasuk pembayaran gaji staf, pembelian perlengkapan, dan biaya pemeliharaan gedung.Berkomunikasi dengan Pihak Terkait: Anda mungkin akan berinteraksi dengan pihak terkait, seperti guru, staf administrasi, orang tua siswa, dan pihak eksternal seperti bank atau vendor, untuk membahas masalah keuangan dan administrasi sekolah.Partisipasi dalam Rapat dan Pertemuan: Anda mungkin akan diminta untuk menghadiri rapat atau pertemuan internal yang membahas masalah keuangan dan administrasi sekolah, serta memberikan kontribusi atau presentasi sesuai dengan bidang Anda.Penyusunan Anggaran: Anda dapat terlibat dalam penyusunan anggaran tahunan sekolah, yang melibatkan perencanaan pengeluaran dan pendapatan, serta evaluasi kinerja keuangan secara periodik.Pembelajaran Sistem Perangkat Lunak Keuangan: Jika sekolah menggunakan sistem perangkat lunak keuangan tertentu, Anda akan diajarkan untuk mengoperasikan dan memahami fungsi-fungsi dasar dari sistem tersebut.Proyek Khusus: Terkadang, Anda mungkin juga akan diberi tanggung jawab untuk menyelesaikan proyek khusus terkait dengan keuangan dan administrasi sekolah, seperti evaluasi efisiensi operasional, penyusunan kebijakan keuangan, atau implementasi sistem baru.",0bf5a4d1-9980-48ae-ad65-48e3b239f15c,2024-03-01T00:00:00+07:00,4,WFO,Kota Banda Aceh,[],2,4,"['Administrasi', 'Operasional', 'Komunikasi', 'Kreatif']",,False,False,False,False,False,False,,,
,b6062e51-4764-474c-a2b7-617affd56959,Marketing Asuransi Mini Mikro ,"WFH dari Seluruh Indonesia.Penelitian Pasar: Mahasiswa akan diajak untuk melakukan penelitian pasar terkait produk asuransi mikro yang ditawarkan oleh perusahaan. Ini meliputi menganalisis target pasar, memahami kebutuhan dan preferensi calon pelanggan, serta mengevaluasi pesaing di pasar.Pengembangan Strategi Pemasaran: Mahasiswa akan terlibat dalam proses pengembangan strategi pemasaran untuk produk asuransi mikro. Mereka akan belajar tentang penggunaan berbagai saluran pemasaran, promosi, dan komunikasi untuk meningkatkan kesadaran dan minat calon pelanggan.Penyusunan Materi Promosi: Mahasiswa akan membantu dalam penyusunan materi promosi seperti brosur, leaflet, presentasi, dan konten media sosial. Mereka akan belajar bagaimana menyusun pesan yang menarik dan persuasif untuk menarik minat pelanggan potensial.Pelatihan Tim Penjualan: Mahasiswa akan diberi kesempatan untuk mengamati dan bahkan terlibat dalam pelatihan tim penjualan. Mereka akan mempelajari teknik penjualan yang efektif, keterampilan presentasi, dan cara mengatasi penolakan dari calon pelanggan.Pelaksanaan Kampanye Pemasaran: Mahasiswa akan terlibat dalam pelaksanaan kampanye pemasaran untuk produk asuransi mikro, baik secara langsung maupun melalui media online. Ini bisa mencakup kegiatan seperti pameran, acara promosi, dan kampanye digital.Analisis Kinerja: Mahasiswa akan belajar tentang pentingnya analisis kinerja dalam pemasaran. Mereka akan terlibat dalam memantau dan mengevaluasi efektivitas berbagai kegiatan pemasaran yang dilakukan, serta membuat rekomendasi untuk perbaikan di masa mendatang.Pelayanan Pelanggan: Mahasiswa akan mendapatkan pemahaman tentang pentingnya pelayanan pelanggan dalam industri asuransi. Mereka akan belajar tentang cara menangani pertanyaan, keluhan, dan klaim pelanggan dengan baik dan efisien.",6bbc729e-c3ee-46a1-93be-2b9f3b5f478d,2024-03-01T00:00:00+07:00,4,WFH,Kota Banda Aceh,[],50,3,"['Operasional', 'Kreatif', 'Administrasi', 'Komunikasi']",https://forms.gle/7SSUSeRFa6UQT2Fe6,False,False,False,False,False,False,,,
,051db4ac-8eb2-4f06-be00-36d6e4649c4a,Marketing Asuransi Mini Mikro ,"WFH dari Seluruh Indonesia.Penelitian Pasar: Mahasiswa akan diajak untuk melakukan penelitian pasar terkait produk asuransi mikro yang ditawarkan oleh perusahaan. Ini meliputi menganalisis target pasar, memahami kebutuhan dan preferensi calon pelanggan, serta mengevaluasi pesaing di pasar.Pengembangan Strategi Pemasaran: Mahasiswa akan terlibat dalam proses pengembangan strategi pemasaran untuk produk asuransi mikro. Mereka akan belajar tentang penggunaan berbagai saluran pemasaran, promosi, dan komunikasi untuk meningkatkan kesadaran dan minat calon pelanggan.Penyusunan Materi Promosi: Mahasiswa akan membantu dalam penyusunan materi promosi seperti brosur, leaflet, presentasi, dan konten media sosial. Mereka akan belajar bagaimana menyusun pesan yang menarik dan persuasif untuk menarik minat pelanggan potensial.Pelatihan Tim Penjualan: Mahasiswa akan diberi kesempatan untuk mengamati dan bahkan terlibat dalam pelatihan tim penjualan. Mereka akan mempelajari teknik penjualan yang efektif, keterampilan presentasi, dan cara mengatasi penolakan dari calon pelanggan.Pelaksanaan Kampanye Pemasaran: Mahasiswa akan terlibat dalam pelaksanaan kampanye pemasaran untuk produk asuransi mikro, baik secara langsung maupun melalui media online. Ini bisa mencakup kegiatan seperti pameran, acara promosi, dan kampanye digital.Analisis Kinerja: Mahasiswa akan belajar tentang pentingnya analisis kinerja dalam pemasaran. Mereka akan terlibat dalam memantau dan mengevaluasi efektivitas berbagai kegiatan pemasaran yang dilakukan, serta membuat rekomendasi untuk perbaikan di masa mendatang.Pelayanan Pelanggan: Mahasiswa akan mendapatkan pemahaman tentang pentingnya pelayanan pelanggan dalam industri asuransi. Mereka akan belajar tentang cara menangani pertanyaan, keluhan, dan klaim pelanggan dengan baik dan efisien.",6bbc729e-c3ee-46a1-93be-2b9f3b5f478d,2024-03-01T00:00:00+07:00,4,WFH,Kota Banda Aceh,[],50,3,"['Operasional', 'Kreatif', 'Administrasi', 'Komunikasi']",https://forms.gle/7SSUSeRFa6UQT2Fe6,False,False,False,False,False,False,,,
,0ffe8c67-45e8-473f-a82d-175f4ad7fcb8,Tenaga Pengajar DIGIKIDZ,"-      Sebagai Multimedia Coach, akan mengajar di Children Creative Learning Center DIGIKIDZ, baik di center, sekolah, center franchise (jika ada) dan event2 yang dilaksanakan DIGIKIDZ -      Melakukan persiapan mengajar sesuai kelas yang dijadwalkan minimal 30 menit sebelum kelas dimulai dengan menggunakan Teaching Aids, Video Tutorial dan alat bantu mengajar lain sesuai standard DIGIKIDZ-      Melaksanakan persiapan mengajar, pengajaran di kelas dan perapian setelah mengajar sesuai Standard Operational Procedure (SOP)-      Mengajar dengan HATI : menjalankan kelas yang menyenangkan (fun learning), kreatif menyiasati murid dan suasana kelas dan terstruktur sesuai dengan SOP.-      Melaksanakan pekerjaan administrasi yang berkaitan dengan jalannya kelas secara tepat waktu dan tertib sesuai SOP. Misalnya : pengisian Absensi Murid, Evaluation Sheet, pembuatan Progress Report dan Sertifikat Murid-      Melakukan koordinasi internal dengan team Coach lain atau team marketing masing-masing center agar semua kelas dapat berjalan dengan baik-      Melakukan komunikasi dengan murid ataupun Orang Tua Murid terkait perkembangan belajar murid.-      Menjaga MUTU KELAS yang diajar sesuai dengan KURIKULUM DIGIKIDZ yang berlaku-      Melaporkan semua hal yang terkait dengan pekerjaan kepada Center Coordinator/Supervisor, terutama masalah-masalah yang muncul di kelas baik di center dan sekolah",0fc9e97a-2c73-463e-8c4e-4a6a5d596f3f,2024-03-01T00:00:00+07:00,6,WFO,Kota Tangerang Selatan,[],10,4,[],,False,False,False,False,False,False,,,
,7516bf97-bdfc-4dd1-875e-069253eb0a76,Content Creator,Membuat konten Tentang DIGIKIDZMenganalisis target Customer DIGIKIDZMembuat Strategi brandingMengelola platform DIGIKIDZUpdate terhadap perkembangan Teknologi terbaruMemonitor kinerja kontenMembangun jaringan dan kemitraan,0fc9e97a-2c73-463e-8c4e-4a6a5d596f3f,2024-03-01T00:00:00+07:00,9,WFO,Kota Tangerang Selatan,[],3,4,[],,False,False,False,False,False,False,,,
,6f0633b9-8300-4c76-a839-daa5c6dc5670,Admin,"Tenaga Administrasi Membantu DIVISI Marketing, Finance, Product Development, dan DIVISI lainnya dalam merencanakan dan rekapitulasi AdministrasiMembantu DIVISI human Resource dalan hal Pengelolaan Administrasi Membantu Team Finance untuk rekapitulasi pencatatan keuangan keuangan ",0fc9e97a-2c73-463e-8c4e-4a6a5d596f3f,2024-03-01T00:00:00+07:00,6,WFO,Kota Tangerang Selatan,[],3,4,"['Administrasi', 'Kreatif', 'Komunikasi', 'Operasional', 'Analisis Keuangan', 'Analisis Data']",,False,False,False,False,False,False,,,
,ef46090e-092b-4cdf-bfb5-f3f54d6e23de,Internship Multimedia Coach,"-      Sebagai Multimedia Coach, akan mengajar di Children Creative Learning Center DIGIKIDZ, baik di center, sekolah, center franchise (jika ada) dan event2 yang dilaksanakan DIGIKIDZ -      Melakukan persiapan mengajar sesuai kelas yang dijadwalkan minimal 30 menit sebelum kelas dimulai dengan menggunakan Teaching Aids, Video Tutorial dan alat bantu mengajar lain sesuai standard DIGIKIDZ-      Melaksanakan persiapan mengajar, pengajaran di kelas dan perapian setelah mengajar sesuai Standard Operational Procedure (SOP)-      Mengajar dengan HATI : menjalankan kelas yang menyenangkan (fun learning), kreatif menyiasati murid dan suasana kelas dan terstruktur sesuai dengan SOP.-      Melaksanakan pekerjaan administrasi yang berkaitan dengan jalannya kelas secara tepat waktu dan tertib sesuai SOP. Misalnya : pengisian Absensi Murid, Evaluation Sheet, pembuatan Progress Report dan Sertifikat Murid-      Melakukan koordinasi internal dengan team Coach lain atau team marketing masing-masing center agar semua kelas dapat berjalan dengan baik-      Melakukan komunikasi dengan murid ataupun Orang Tua Murid terkait perkembangan belajar murid.-      Menjaga MUTU KELAS yang diajar sesuai dengan KURIKULUM DIGIKIDZ yang berlaku-      Melaporkan semua hal yang terkait dengan pekerjaan kepada Center Coordinator/Supervisor, terutama masalah-masalah yang muncul di kelas baik di center dan sekolah",0fc9e97a-2c73-463e-8c4e-4a6a5d596f3f,2024-03-01T00:00:00+07:00,6,WFO,Kota Tangerang Selatan,"['Teknik Elektro', 'Teknik Informatika dan Ilmu Komputer', 'Pendidikan', 'Seni dan Desain', 'Jurnalisme, Komunikasi, dan Media', 'Lainnya']",10,4,"['Desain Grafis', 'Pemahaman Industri', 'Keahlian Teknologi', 'Pemahaman Teknologi Informasi', 'Keterampilan Komunikasi']",,False,False,False,False,False,False,,,
